City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
568,Hervey Bay,AU,67.03,-25.2986,152.8535,Shelly Bay Resort
569,Mengcheng,CN,60.4,33.2579,116.5655,Jinliang Hotel
573,Paramonga,PE,67.75,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
575,Rabo De Peixe,PT,67.28,37.8,-25.5833,Quinta das Giestas
578,Mahanoro,MG,73.54,-19.9,48.8,BUNGALOW MAHAMANINA
581,Japura,ID,73.42,-0.3167,102.35,Rumah mbah Jamah
587,Karratha,AU,71.2,-20.7377,116.8463,ibis Styles Karratha
601,Hirara,JP,74.25,24.8,125.2833,Hotel Atoll Emerald Miyakojima
606,Kyenjojo,UG,61.54,0.6328,30.6214,Tropical Gardens
609,Kawalu,ID,72.1,-7.3817,108.2082,KOSAN UNGU UNSIK
610,Zhangzhou,CN,72.14,24.5133,117.6556,Borrman Hotel Zhangzhou Bus Station Branch
616,Yulara,AU,69.64,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
618,Najran,SA,65.05,17.4924,44.1277,محمد هادي ال فطيح
628,Sawtell,AU,66.22,-30.3833,153.1,Island Beach House Sawtell
630,Kabompo,ZM,66.9,-13.5927,24.2008,Big Tree
634,Kiunga,PG,72.28,-6.1219,141.2906,Airport Lodge Kiunga
635,Capaccio,IT,66.06,40.4244,15.0809,Residenza Giancesare B&B Casa Vacanze
636,Tabas,IR,68.18,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
637,Port Macquarie,AU,63.9,-31.4333,152.9167,Rydges Port Macquarie
641,Allapalli,IN,69.31,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
644,Sakaraha,MG,69.13,-22.9,44.5333,Le Relais
648,Sadiqabad,PK,71.38,28.3062,70.1307,MIDWAY HOTEL & RESTAURANT
653,Moyale,KE,70.21,3.5167,39.0584,La Tahzan Guest House
662,Porto-Vecchio,FR,62.13,41.591,9.2795,Hôtel Le Goéland - Casa Santini
