City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
6,Carnarvon,AU,64.47,-24.8667,113.6333,Hospitality Carnarvon
9,Ganzhou,CN,62.01,28.8184,115.4327,Laotou Farm Restaurant Hostel
11,Durgapur,IN,69.98,23.4833,87.3167,OYO 23635 Sher E Bengal
12,Cape Town,ZA,61.27,-33.9258,18.4232,Southern Sun Waterfront Cape Town
16,Tuy Hoa,VN,74.28,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
18,Rikitea,PF,73.8,-23.1203,-134.9692,People ThankYou
20,Arraial Do Cabo,BR,73.36,-22.9661,-42.0278,Pousada Porto Praia
22,Castro,BR,70.61,-24.7911,-50.0119,CHACARA BAILLY
30,Mawlaik,MM,69.01,23.6333,94.4167,AKZ Guest House
37,Hermanus,ZA,63.81,-34.4187,19.2345,Misty Waves Boutique Hotel
44,Monduli,TZ,65.88,-3.3,36.45,Monduli Lutheran Youth Hostel
54,Avanigadda,IN,73.98,16.0215,80.9181,AP Camping
58,Port Alfred,ZA,63.21,-33.5906,26.891,The Halyards Hotel
80,Grand Gaube,MU,73.8,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
81,Huarmey,PE,68.56,-10.0681,-78.1522,Hotel Miramar
83,Mar Del Plata,AR,66.22,-38.0023,-57.5575,Gran Hotel Mar del Plata
85,Wasco,US,72.0,35.5941,-119.341,Best Western Plus Wasco Inn & Suites
90,Ribeira Grande,PT,68.4,38.5167,-28.7,Quinta da Meia Eira
91,Santiago,CL,74.28,-33.4569,-70.6483,Che Lagarto Hostel Santiago
92,East London,ZA,64.2,-33.0153,27.9116,Tu Casa
93,Nalut,LY,74.43,30.3333,10.85,
94,Bria,CF,71.37,6.5423,21.9863,
98,Souillac,MU,73.78,-20.5167,57.5167,Shanti Maurice Resort & Spa
99,Turayf,SA,62.85,31.6725,38.6637,Turaif
101,Odweyne,SO,69.75,9.4092,45.064,Eng Hiirey House
103,Chuy,UY,65.12,-33.6971,-53.4616,Nuevo Hotel Plaza
116,Lagoa,PT,67.6,39.05,-27.9833,Casa Das Faias
117,Angoram,PG,74.26,-4.0625,144.0661,
119,Namibe,AO,64.51,-15.1961,12.1522,Hotel Chik Chik Namibe
130,Binucayan,PH,72.36,8.25,125.7167,
136,Bambous Virieux,MU,73.65,-20.3428,57.7575,Casa Tia Villa
140,Saint-Philippe,RE,72.99,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
143,Tapes,BR,72.16,-30.6733,-51.3958,Cabanas Camping Union
157,Los Llanos De Aridane,ES,67.75,28.6585,-17.9182,Valle Aridane
159,Rocha,UY,65.01,-34.4833,-54.3333,Beleza Pura B&B
160,Panguna,PG,72.48,-6.3164,155.4848,
171,Saa,CM,70.02,4.3667,11.45,Auberge Horizon 2010
186,Mizdah,LY,74.05,31.4451,12.9801,محمدالمبروك الاريقط
188,Itanagar,IN,61.02,27.1,93.6167,Hotel Moomsie Itanagar
190,Rockhampton,AU,67.89,-23.3833,150.5,Mercure Rockhampton
195,Shashi,CN,60.75,30.3072,112.2447,Xingyu Hotel
196,Kalengwa,ZM,67.03,-13.4659,25.0027,
209,Anqing,CN,63.9,30.5092,117.0506,Hongtian Hotel
215,Khorramshahr,IR,73.36,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
222,Buraydah,SA,72.05,26.326,43.975,فندق راحة السلام
224,Gorontalo,ID,74.97,0.5412,123.0595,Maqna Hotel by Prasanthi
228,Lodja,CD,65.91,-3.4833,23.4333,
231,Bengkulu,ID,74.86,-3.8004,102.2655,Grage Hotel Bengkulu
239,Kaeo,NZ,60.33,-35.1,173.7833,Bushido Lodge
240,Ponta Do Sol,PT,73.0,32.6667,-17.1,Hotel do Campo
243,Erzin,TR,65.12,36.9559,36.2,Artemis Otel
245,North Augusta,US,63.72,33.5018,-81.9651,Ramada by Wyndham Augusta Downtown Hotel & Conference Center
248,Guerrero Negro,MX,72.55,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
249,Quatre Cocos,MU,73.51,-20.2078,57.7625,Sunrise Attitude Hotel
260,Pisco,PE,68.05,-13.7,-76.2167,Hotel San Isidro Oficial
261,Isangel,VU,71.71,-19.55,169.2667,Tanna Lodge
272,Moranbah,AU,69.91,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
274,Flinders,AU,66.06,-34.5833,150.8552,Shellharbour Resort & Conference Centre
276,Marzuq,YE,70.68,14.4,46.4667,
280,Luau,AO,68.43,-10.7073,22.2247,Casa- Bernardo Cândido
282,Batemans Bay,AU,66.2,-35.7167,150.1833,Batemans Bay Marina Resort
283,Airai,TL,60.84,-8.9266,125.4092,Juvinal Martin
285,Chibombo,ZM,74.35,-14.6569,28.0706,Chibombo District Council Guest House
287,Chissamba,AO,68.72,-12.1667,17.3333,
290,Mountain Home,US,61.93,43.133,-115.6912,Mountain Home Inn
